date,tittle,price,huxing,area,built,chaoxiang,leibie,loucheng,zhuangxiu
发布时间：2018年12月18日,"
      新塘新世界花园 配套齐全 带花园 大型小区  ",168,3室2厅1卫,91平方米,2006年,北,普通住宅,低层(共6层),简单装修
发布时间：2018年12月12日,"
      中海联睿品 业主征信不过 内部急转 单合同 可按揭 价格美丽  ",180,3室2厅2卫,85平方米,2015年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月07日,"
      新塘 金泽豪庭 90方正规三房 全新装修 舒适温馨地铁300  ",200,3室2厅1卫,90.2平方米,2016年,南,普通住宅,中层(共28层),精装修
发布时间：2018年12月07日,"
      沙村地铁口 广园东万象苑 精装东南向三房  ",208,3室2厅2卫,95.9平方米,2013年,东南,普通住宅,中层(共18层),精装修
发布时间：2018年12月18日,"
      新塘港务局小区 不限购 可按揭 一次性更优惠 产权清晰  ",70,3室1厅2卫,82平方米,2012年,南北,普通住宅,高层(共7层),精装修
发布时间：2018年12月06日,"
      富好城 红本在手 可公积金按揭 有心要买 有多低我帮您砍多低  ",93,3室1厅1卫,81平方米,2004年,南北,普通住宅,高层(共11层),精装修
发布时间：2018年12月16日,"
      新塘站地铁口 亚太新城三房 南北通透 楼层靓低首付 随时看房  ",145,3室2厅2卫,90平方米,2010年,南,普通住宅,中层(共8层),精装修
发布时间：2018年11月19日,"
      中森名苑 新塘13号地铁官湖站 小区自带省级学校 原生态公园  ",140,3室2厅2卫,86平方米,2017年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月19日,"
      （不限购）新塘 13号线地铁 精装南向中楼层 可公积金供  ",130.5,3室2厅2卫,80平方米,2015年,南北,普通住宅,中层(共25层),精装修
发布时间：2018年12月08日,"
      汇景楼 业主市区看中一套房子 急售 价格可谈  ",90,3室2厅2卫,90平方米,2015年,南北,普通住宅,中层(共20层),精装修
发布时间：2018年12月02日,"
      金泽豪庭 新出南向小三房高层 送全屋家电拎包入住 业主急售  ",198,3室2厅1卫,89平方米,2013年,南,普通住宅,中层(共26层),精装修
发布时间：2018年12月14日,"
      中海联睿品新塘核心位置 万达广场旁 首付21万 南向三房精装  ",200,3室2厅2卫,95平方米,2018年,南,普通住宅,中层(共28层),精装修
发布时间：2018年12月16日,"
      新塘超精致三房2厅2卫，总价低，实用率高  ",145,3室2厅2卫,85平方米,2005年,南,普通住宅,中层(共6层),精装修
发布时间：2018年12月14日,"
      富雅都市华庭 准新房 首付28万，小三房，单价仅16800平  ",160,3室2厅1卫,92.2平方米,2016年,北,普通住宅,高层(共11层),简单装修
发布时间：2018年12月09日,"
      广园东方名都 精装小三房中层南向望花园 小区环境优美近地铁站  ",210,3室2厅1卫,97平方米,2012年,南,普通住宅,高层(共22层),精装修
发布时间：2018年12月15日,"
      甘泉小学旁 地铁旁 一线江景豪宅 首付两成 可公积金  ",129.2,3室2厅2卫,80平方米,2011年,南,普通住宅,低层(共33层),精装修
发布时间：2018年12月18日,"
      新塘新世界花园 沙村地铁口 业主换婚房急售 低于市场价10万  ",130,3室2厅2卫,84.4平方米,2013年,东南,普通住宅,低层(共30层),精装修
发布时间：2018年12月12日,"
      （来电有9折优惠）中海联睿品 南向三房带主套 可按揭 价格笋  ",201,3室2厅2卫,85平方米,2015年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月07日,"
      离地铁口800米 首付12万 随时可看  ",98,3室2厅2卫,85平方米,2010年,南,普通住宅,中层(共19层),精装修
发布时间：2018年11月29日,"
      中森名苑全新一手楼盘出售 85方可做三房带主套 找我有98折  ",168,3室2厅2卫,85.8平方米,2018年,南,普通住宅,中层(共24层),精装修
发布时间：2018年12月19日,"
      （真盘实价）招商臻园 全新未住 业主生意转移 现急于出售  ",297,3室2厅2卫,93.3平方米,2017年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月01日,"
      新塘 中海联睿品 万达旁 双地铁官湖站 南向精装三房 单合同  ",195,3室2厅2卫,85平方米,2018年,南,普通住宅,低层(共32层),精装修
发布时间：2018年12月12日,"
      新康花园 两房做四房  南北对流  双层复式 首付四十万  ",125,3室2厅1卫,80平方米,2006年,南北,普通住宅,高层(共6层),精装修
发布时间：2018年12月18日,"
      富好城（免重税）新沙站 可租2200 配套成熟 送家私送车位  ",93,3室2厅1卫,81平方米,2012年,南,普通住宅,中层(共30层),精装修
发布时间：2018年11月14日,"
      花园洋房 精装三房 送160方花园产权车位 位置安静舒适  ",280,3室2厅2卫,97平方米,2010年,北,普通住宅,低层(共11层),精装修
